Collection_Date,Season,Species_PCR_GR,Sequence_Results,Latitude,Longitude,Site_Name
3/25/2022,Spring 2022,Cx. pipiens,Northern Cardinal,40.01931,-82.9994,Glen Echo
4/15/2022,Spring 2022,Cx. pipiens,American Robin,40.00724,-83.1397,Walcutt Run
4/15/2022,Spring 2022,Cx. pipiens,Blue Jay,40.00724,-83.1397,Walcutt Run
4/15/2022,Spring 2022,Cx. pipiens,Brown-headed Cowbird,40.00724,-83.1397,Walcutt Run
4/15/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.01451,-82.938,Alum Creek 2
4/20/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.00724,-83.1397,Walcutt Run
4/21/2022,Spring 2022,Cx. pipiens,House Sparrow,40.0463,-83.0165,Overbrook
4/28/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.01931,-82.9994,Glen Echo
4/27/2022,Spring 2022,Cx. restuans,Common Starling,40.00724,-83.1397,Walcutt Run
4/28/2022,Spring 2022,Cx. restuans,Gray Catbird,40.07339,-82.9837,Woodward Nature Preserve
4/28/2022,Spring 2022,Cx. restuans,American Robin,40.07339,-82.9837,Woodward Nature Preserve
4/28/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.07339,-82.9837,Woodward Nature Preserve
4/28/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.07339,-82.9837,Woodward Nature Preserve
5/2/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.01451,-82.938,Alum Creek 2
5/2/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.01451,-82.938,Alum Creek 2
5/4/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.02416,-83.0466,Smith Park
5/4/2022,Spring 2022,Cx. restuans,American Robin,40.07339,-82.9837,Woodward Nature Preserve
5/4/2022,Spring 2022,Cx. restuans,American Robin,40.07339,-82.9837,Woodward Nature Preserve
5/4/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.01931,-82.9994,Glen Echo
5/4/2022,Spring 2022,Cx. restuans,American Robin,40.01931,-82.9994,Glen Echo
5/10/2022,Spring 2022,Cx. restuans,American Robin,39.89,-83.0466,OSU Sewer
5/12/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.02416,-83.0466,Smith Park
5/12/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.01931,-82.9994,Glen Echo
5/12/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.01931,-82.9994,Glen Echo
5/12/2022,Spring 2022,Cx. restuans,Northern Cardinal,40.02416,-83.0466,Smith Park
6/6/2021,Spring 2021,Cx. restuans,Blue Jay,39.975,-83.04,Perry Sharon North
6/7/2021,Spring 2021,Cx. restuans,Gray Catbird,40.01,-82.86,Gahanna South
6/7/2021,Spring 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,House Finch,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,House Wren,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,Northern Cardinal,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,Northern Cardinal,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
7/7/2021,Summer 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
6/7/2021,Spring 2021,Cx. pipiens,House Sparrow,39.855,-82.975,Hamilton
6/22/2021,Summer 2021,Cx. restuans,American Robin,40.01,-83.165,Hilliard Southwest
6/2/2021,Spring 2021,Cx. restuans,Common Grackle,40.01,-83.165,Hilliard Southwest
6/14/2021,Spring 2021,Cx. restuans,American Robin,39.9,-82.87,Madison
6/14/2021,Spring 2021,Cx. pipiens,Mourning Dove,39.96,-83.13,Prairie North
6/14/2021,Spring 2021,Cx. pipiens,American Robin,39.96,-83.13,Prairie North
6/14/2021,Spring 2021,Cx. pipiens,House Sparrow,39.9,-82.87,Madison
6/14/2021,Spring 2021,Cx. pipiens,Northern Cardinal,40.03,-82.895,Gahanna West
6/14/2021,Spring 2021,Cx. pipiens,American Robin,40.03,-82.895,Gahanna West
6/14/2021,Spring 2021,Cx. pipiens,American Robin,40.03,-82.895,Gahanna West
6/14/2021,Spring 2021,Cx. pipiens,American Robin,39.97,-82.81,Reynoldsburg Northwest
6/14/2021,Spring 2021,Cx. pipiens,Northern Cardinal,39.97,-82.81,Reynoldsburg Northwest
6/14/2021,Spring 2021,Cx. pipiens,House Wren,39.97,-82.81,Reynoldsburg Northwest
6/14/2021,Spring 2021,Cx. restuans,American Robin,40.095,-82.805,New Albany North
6/14/2021,Spring 2021,Cx. restuans,American Robin,39.895,-83.07,Grove City North
6/14/2021,Spring 2021,Cx. restuans,American Robin,40.06,-82.825,New Albany South
6/14/2021,Spring 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
6/14/2021,Spring 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
6/14/2021,Spring 2021,Cx. pipiens,American Robin,39.965,-82.86,Whitehall East
6/14/2021,Spring 2021,Cx. pipiens,Common Grackle,39.965,-82.86,Whitehall East
6/14/2021,Spring 2021,Cx. pipiens,American Robin,40.055,-83.145,Hilliard Northeast
6/21/2021,Summer 2021,Cx. pipiens,American Robin,39.975,-83.035,Grandview Heights
6/21/2021,Summer 2021,Cx. pipiens,Mourning Dove,40.01,-82.86,Gahanna South
6/21/2021,Summer 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
6/21/2021,Summer 2021,Cx. pipiens,American Robin,40.01,-82.86,Gahanna South
6/21/2021,Summer 2021,Cx. pipiens,Common Starling,39.97,-83.095,Franklin North
6/14/2021,Spring 2021,Cx. restuans,American Robin,40.045,-82.795,Jefferson North
6/14/2021,Spring 2021,Cx. restuans,American Robin,40.045,-82.795,Jefferson North
6/21/2021,Summer 2021,Cx. restuans,House Sparrow,40.03,-83.07,Upper Arlington Central
6/21/2021,Summer 2021,Cx. pipiens,House Sparrow,40.035,-82.87,Gahanna Central
6/21/2021,Summer 2021,Cx. restuans,American Robin,40.01,-83.065,Upper Arlington South
6/21/2021,Summer 2021,Cx. restuans,Northern Cardinal,39.995,-83.03,Clinton West
