"site_name","location","season","common_name","total_eaten"
Storage Site,POINT (-83.0306 40.00041),Fall 2021,Northern Cardinal,4
Cherrybottom Park,POINT (-82.8998 40.06718),Spring 2021,Carolina Chickadee,1
Cherrybottom Park,POINT (-82.8998 40.06718),Spring 2021,House Finch,1
Gahanna South,POINT (-82.86 40.01),Spring 2021,Gray Catbird,1
Glen Echo,POINT (-82.9994 40.01931),Spring 2021,House Sparrow,1
Grove City North,POINT (-83.07 39.895),Spring 2021,American Robin,1
Hilliard Southwest,POINT (-83.165 40.01),Spring 2021,Common Grackle,1
Jefferson North,POINT (-82.795 40.045),Spring 2021,American Robin,2
Madison,POINT (-82.87 39.9),Spring 2021,American Robin,1
New Albany North,POINT (-82.805 40.095),Spring 2021,American Robin,1
New Albany South,POINT (-82.825 40.06),Spring 2021,American Robin,1
Perry Sharon North,POINT (-83.04 39.975),Spring 2021,Blue Jay,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2021,European Starling,1
Alum Creek 2,POINT (-82.938 40.01451),Spring 2022,Northern Cardinal,3
Glen Echo,POINT (-82.9994 40.01931),Spring 2022,American Robin,1
Glen Echo,POINT (-82.9994 40.01931),Spring 2022,Northern Cardinal,4
OSU Sewer,POINT (-83.0466 39.89),Spring 2022,American Robin,1
Smith Park,POINT (-83.0466 40.02416),Spring 2022,Northern Cardinal,3
Walcutt Run,POINT (-83.1397 40.00724),Spring 2022,European Starling,1
Walcutt Run,POINT (-83.1397 40.00724),Spring 2022,Northern Cardinal,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2022,American Robin,3
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2022,Gray Catbird,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2022,Northern Cardinal,2
Bexley South,POINT (-82.935 39.955),Summer 2021,House Sparrow,1
Clinton West,POINT (-83.03 39.995),Summer 2021,Northern Cardinal,2
Gahanna East,POINT (-82.855 40.045),Summer 2021,Northern Cardinal,1
Gahanna South,POINT (-82.86 40.01),Summer 2021,American Robin,1
Glen Echo,POINT (-82.9994 40.01931),Summer 2021,American Robin,1
Glen Echo,POINT (-82.9994 40.01931),Summer 2021,House Sparrow,1
Glen Echo,POINT (-82.9994 40.01931),Summer 2021,Northern Cardinal,1
Grove City Central (2500-540),POINT (-83.06 39.87),Summer 2021,House Sparrow,1
Grove City North,POINT (-83.07 39.895),Summer 2021,American Robin,2
Grove City West,POINT (-83.11 39.89),Summer 2021,Northern Cardinal,1
Hilliard Southwest,POINT (-83.165 40.01),Summer 2021,American Robin,1
Overbrook,POINT (-83.0165 40.0463),Summer 2021,Northern Cardinal,2
Prairie West,POINT (-83.23 39.955),Summer 2021,House Sparrow,1
Storage Site,POINT (-83.0306 40.00041),Summer 2021,Gray Catbird,1
Upper Arlington Central,POINT (-83.07 40.03),Summer 2021,House Sparrow,1
Upper Arlington South,POINT (-83.065 40.01),Summer 2021,American Robin,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Summer 2021,Brown-headed Cowbird,1
